設備ID,発電事業者名,代表者名,事業者の住所,事業者の電話番号,発電設備区分,発電出力（kW）,発電設備の所在地,他の筆数,太陽電池の合計出力（kW）,新規認定日,運転開始報告年月,パワーコンディショナーの自立運転機能の有無,給電用コンセントの有無,廃棄費用の積立方法,廃棄費用の積立状況,調達期間終了年月
A782435E25,青木　哲,,,,太陽光,49.5,滋賀県高島市新旭町饗庭字佃４０５５－４,0,54.0,11月26日2013年,2015年5月,-,-,外部積立て,-,2035年2月
A782437E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,49.9,滋賀県高島市新旭町藁園３６９２－３,0,49.9,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782439E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,49.9,滋賀県高島市新旭町藁園３６９２－３,0,49.9,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782440E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,49.9,滋賀県高島市新旭町藁園３６９２－２,0,49.9,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782441E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,49.9,滋賀県高島市新旭町藁園３６９２－１,0,49.9,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782442E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１‐４‐２４,06-6576-4000,太陽光,43.2,滋賀県高島市新旭町藁園３６９３－６,0,46.9,11月26日2013年,2015年6月,-,-,外部積立て,-,2035年4月
A782443E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１‐４‐２４,06-6576-4000,太陽光,43.2,滋賀県高島市新旭町藁園３６９３－６,0,46.9,11月26日2013年,2015年6月,-,-,外部積立て,-,2035年4月
A782444E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１０,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782445E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１０,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782446E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１０,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782447E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１０,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782448E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１０,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782449E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１０,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782450E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１０,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782451E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１１－１,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782452E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１１－２,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782453E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５１１－２,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782455E25,有限会社住宅情報,杉本　裕一,大阪府大阪市港区市岡１－４－２４,06-6576-4000,太陽光,40.0,滋賀県高島市新旭町藁園３５０８－２,0,46.0,11月26日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A782459E25,東近江市,東近江市長　　小椋　正清,,,太陽光,30.0,滋賀県東近江市八日市緑町１０－５,0,30.0,11月26日2013年,2015年5月,-,-,外部積立て,-,2035年3月
A782460E25,株式会社　千成亭,代表取締役社長　上田　健一郎,彦根市平田町８０８,0749-26-2299,太陽光,20.0,滋賀県彦根市平田町８０８,0,20.0,11月26日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A782464E25,日本化成プロダクト株式会社,廣瀬　隆,東京都新宿区歌舞伎町２－３－２２,03-3207-8139,太陽光,49.5,滋賀県甲賀市水口町さつきが丘２５,0,51.3,11月26日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A782467E25,滋賀北部輸送共同組合,大久保健作,長浜市西上坂町２１６番１,0749-63-2089,太陽光,49.3,滋賀県長浜市西上坂町２１６－１,0,50.0,11月26日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A782529E25,日夏　晃,,,,太陽光,29.7,滋賀県彦根市小泉町字大場９６１－２,0,29.7,11月26日2013年,2014年8月,-,-,外部積立て,-,2034年6月
A782532E25,株式会社エフワン,神田　進,滋賀県大津市和邇北浜４０５,077-594-4444,太陽光,21.0,滋賀県大津市和邇北浜４０５,0,21.0,11月26日2013年,2014年5月,-,-,外部積立て,-,2034年3月
A782538E25,株式会社　青山製作所,青山　滋,東近江市愛東外町５８２,0749-46-1186,太陽光,29.7,滋賀県甲賀市水口町牛飼城川３９５‐８,0,29.7,11月26日2013年,2016年4月,-,-,外部積立て,-,2036年2月
A782548E25,森米穀株式会社,森　茂隆,佐賀市神野東３丁目１３番１１号,0952-30-6511,太陽光,49.5,滋賀県犬上郡豊郷町四十九院６８,0,61.5,11月26日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A782549E25,森米穀株式会社,森　茂隆,佐賀市神野東３丁目１３番１１号,0952-30-6511,太陽光,49.5,滋賀県犬上郡豊郷町四十九院６９,0,61.5,11月26日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A782550E25,森米穀株式会社,森　茂隆,佐賀市神野東３丁目１３番１１号,0952-30-6511,太陽光,49.5,滋賀県犬上郡豊郷町四十九院７０,0,61.5,11月26日2013年,2014年4月,-,-,外部積立て,-,2034年3月
A782705E25,（株）岸辺瓦工務店,岸辺　知也,犬上郡多賀町多賀１０２３,,太陽光,33.0,滋賀県犬上郡多賀町多賀１０２３,0,36.4,11月28日2013年,2014年8月,-,-,外部積立て,-,2034年6月
A782707E25,（株）岸辺瓦工務店,岸辺知也,犬上郡多賀町多賀１０２２－１,,太陽光,48.0,滋賀県犬上郡多賀町多賀１０２２－１,0,50.1,11月28日2013年,2014年8月,-,-,外部積立て,-,2034年6月
A782712E25,社会福祉法人　公悠会,馬場鋭州,長浜市加納町９９０番地,0749-63-9880,太陽光,47.7,滋賀県長浜市加納町９９０,0,48.3,11月28日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A782713E25,川副　邦子,,,,太陽光,20.0,滋賀県東近江市湯屋町１１８１－１,0,22.4,11月28日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A782720E25,合同会社ＳＫＹＷＡＲＤ,元林　瞳,京都府宇治市宇治矢落２９－１４,,太陽光,49.5,滋賀県高島市拝戸字東出１３８１－３,0,58.2,11月28日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A782721E25,元林　真二,,,,太陽光,49.5,滋賀県高島市拝戸字東出１３８１－２,0,53.0,11月28日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A782753E25,中島　政弘,,,,太陽光,48.0,滋賀県甲賀市甲賀町神３３３－１,0,48.0,11月28日2013年,2014年5月,-,-,外部積立て,-,2034年3月
A783228E25,株式会社スマイディア,石光　堅太郎,滋賀県栗東市川辺５６８－２,077-552-1045,太陽光,39.6,滋賀県甲賀市水口町ひのきが丘３６－６,0,45.6,11月29日2013年,2014年4月,-,-,外部積立て,-,2034年3月
A783229E25,舩田　昌宏,,,,太陽光,22.5,滋賀県甲賀市甲賀町田堵野５５６,0,22.6,11月29日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A783245E25,丹羽　逸朗,,,,太陽光,30.0,滋賀県高島市新旭町饗庭３９２９－２４,0,40.5,11月29日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A783252E25,福川　貴之,,,,太陽光,20.0,滋賀県湖南市平松５５５‐４１,0,20.0,11月29日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A783271E25,株式会社セイーデ,住谷　真也,大阪市西成区萩之茶屋３－９－２１,06-6641-4623,太陽光,40.0,滋賀県大津市和邇北浜山ノ神７４８,0,45.9,11月29日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A783327E25,日本ソーラー電力株式会社,林　雄一郎,東京都品川区東五反田５－２７－１０　野村ビル８階,06-6943-5731,太陽光,45.0,滋賀県彦根市高宮町２７５７－２,0,45.9,11月29日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A783328E25,日本ソーラー電力株式会社,林　雄一郎,東京都品川区東五反田５－２７－１０　野村ビル８階,06-6943-5731,太陽光,25.0,滋賀県彦根市高宮町２７３８,0,25.5,11月29日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A783352E25,園　照雄,,,,太陽光,33.0,滋賀県大津市見世１－４－１０,0,36.7,11月29日2013年,2014年4月,-,-,外部積立て,-,2034年3月
A783357E25,株式会社ジェイズファクトリー,間宮　祥公,大阪市北区西天満４－３－４御影ビル１Ｆ,,太陽光,22.0,滋賀県大津市一里山１－１３－１,0,22.3,11月29日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A783379E25,夏原　裕輔,,,,太陽光,49.5,滋賀県彦根市正法寺町１５６,1,56.1,11月29日2013年,2014年6月,-,-,外部積立て,-,2034年5月
A783395E25,三橋　幸男,,,,太陽光,22.0,滋賀県彦根市日夏町１５２７,0,22.5,11月29日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A783412E25,千葉　雄生,,,,太陽光,22.5,滋賀県彦根市南川瀬町９６０　メゾンドセルバ,0,22.5,11月29日2013年,2014年3月,-,-,外部積立て,-,2034年1月
A783970E25,東近江市,市長　小椋　正清,,,太陽光,20.0,滋賀県東近江市小田苅町３４０,0,20.0,12月3日2013年,2014年3月,-,-,外部積立て,-,2034年2月
A784013E25,松本　靖浩,,,,太陽光,22.0,滋賀県守山市水保町（番地未確定）,0,22.4,12月3日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A784173E25,株式会社安田工務店,安田　英康,長浜市宮部町２２３１,0749-73-3425,太陽光,22.0,滋賀県長浜市宮部町２２３１,0,23.0,12月3日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A784182E25,神田　順弘,,,,太陽光,47.6,滋賀県大津市北小松加屋尻１１５５,0,47.6,12月3日2013年,2016年3月,-,-,外部積立て,-,2036年2月
A784183E25,神田　順弘,,,,太陽光,47.6,滋賀県大津市北小松加屋尻１１５５,0,47.6,12月3日2013年,2016年3月,-,-,外部積立て,-,2036年2月
A784184E25,株式会社ダイヤモンドキャピタル,河本　善秀,草津市草津１丁目１３－１２,077-569-5643,太陽光,49.2,滋賀県高島市今津町桂１１７０－１５,0,49.2,12月3日2013年,2015年5月,-,-,外部積立て,-,2035年3月
A784185E25,株式会社ダイヤモンドキャピタル,河本　善秀,草津市草津１丁目１３－１２,077-525-3011,太陽光,49.2,滋賀県高島市今津町桂１１７０－１５,0,49.2,12月3日2013年,2015年5月,-,-,外部積立て,-,2035年3月
A784186E25,株式会社　ＧＭ,高橋　慶次,栗東市下戸山１０９４番地６,077-554-7126,太陽光,48.5,滋賀県高島市マキノ町中庄１２１１－１８,0,50.9,12月3日2013年,2015年2月,-,-,外部積立て,-,2035年1月
A784188E25,株式会社　ＧＭ,高橋　慶次,栗東市下戸山１０９４番地６,077-554-7126,太陽光,48.5,滋賀県高島市マキノ町中庄１２１１－１８,0,50.9,12月3日2013年,2015年2月,-,-,外部積立て,-,2035年1月
A784214E25,湖南精機株式会社,荒川　雅幸,甲賀市甲賀町田堵野８８３,0748-88-2367,太陽光,49.5,滋賀県甲賀市甲賀町田堵野８８３,0,78.0,12月3日2013年,2016年7月,-,-,外部積立て,-,2036年4月
A784288E25,藤堂　成人,,,,太陽光,20.0,滋賀県犬上郡甲良町尼子１４０９,0,20.8,12月3日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A784345E25,湖東興産株式会社,今若　伸男,東近江市上中野町９５６番地,0749-46-1570,太陽光,30.8,滋賀県東近江市池庄町１０９０,0,30.8,12月6日2013年,2015年3月,-,-,外部積立て,-,2035年1月
A784348E25,スターエンジニアリング株式会社,代表取締役　和田　英幸,守山市二町町１９８番地１,077-514-4177,太陽光,44.0,滋賀県東近江市神郷町字下寺田１０３０,0,44.0,12月6日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A785393E25,有限会社中英組,中水　雅之,栗東市下戸山１７１９,077-554-5622,太陽光,49.5,滋賀県草津市山寺町７１０－８,0,56.1,12月11日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A785394E25,オキシー株式会社,本田　国松,草津市山寺町１１５４－３７,077-561-8948,太陽光,49.5,滋賀県草津市山寺町６９９－２,0,56.1,12月11日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A785439E25,木元　竜児,,,,太陽光,49.0,滋賀県甲賀市水口町山３９３８－３６,0,49.0,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年3月
A785451E25,桑野　達朗,,,,太陽光,30.1,滋賀県大津市山百合の丘２２‐７,0,30.2,12月11日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A785458E25,株式会社Ｌｅ　ｃｉｅｌ,木村　良一郎,滋賀県草津市矢倉１－２－２６,077-562-0301,太陽光,36.9,滋賀県草津市野村４－字野上７３７－１，２，３，４、上笠３－字岸田９７－２、１００－４１，４４番地未確定,0,36.9,12月11日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A785518E25,株式会社ＡＬＰＳ,西山　洪在,京都府京都市東山区鞘町通五条下る２丁目大阪町３８２－３,075-525-7300,太陽光,46.7,滋賀県大津市和邇中６６０他,0,46.9,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A785520E25,株式会社ＡＬＰＳ,西山　洪在,京都府京都市東山区鞘町通五条下る２丁目大阪町３８２－３,075-525-7300,太陽光,46.7,滋賀県大津市和邇中６６０他,0,46.9,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A785539E25,太田　定男,,,,太陽光,29.6,滋賀県大津市南比良１２４０－１,0,29.6,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A785573E25,株式会社　ひなた,丸山　博樹,彦根市川瀬馬場町９７１番地１,0749-28-7400,太陽光,29.7,滋賀県愛知郡愛荘町蚊野５９０,0,31.3,12月11日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A785575E25,株式会社　奥村設備,奥村　増一,湖南市針２２８番地１,0748-72-0078,太陽光,40.0,滋賀県湖南市針４０８,0,43.1,12月11日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A785577E25,山中　弥寿治,,,,太陽光,20.0,滋賀県蒲生郡竜王町山中荒ヶ谷９１３－６４,0,23.5,12月11日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A785591E25,エヌティエス株式会社,代表取締役　田中純一,文京区湯島２丁目１番１０号,03-3832-7266,太陽光,49.5,滋賀県甲賀市土山町北土山字山神６５５,1,50.0,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A785593E25,エヌティエス株式会社,代表取締役　田中純一,文京区湯島２丁目１番１０号,03-3832-7266,太陽光,49.5,滋賀県甲賀市土山町北土山字山神６５５,1,50.0,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A785595E25,エヌティエス株式会社,代表取締役　田中純一,文京区湯島２丁目１番１０号,03-3832-7266,太陽光,49.5,滋賀県甲賀市土山町北土山字山神６５５,1,50.0,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A785643E25,油藤商事株式会社,青山　金吾,犬上郡豊郷町高野瀬６４５,0749-35-2081,太陽光,48.2,滋賀県犬上郡豊郷町高野瀬６３１,0,51.8,12月11日2013年,2014年11月,-,-,外部積立て,-,2034年9月
A785651E25,野口　重雄,,,,太陽光,20.5,滋賀県甲賀市甲賀町神１７１０,0,22.8,12月11日2013年,2014年3月,-,-,外部積立て,-,2034年1月
A785693E25,奥村　真一,,,,太陽光,40.0,滋賀県湖南市三雲２００６,0,49.9,12月11日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A785694E25,奥村　明弘,,,,太陽光,40.0,滋賀県湖南市三雲１８３７,0,49.9,12月11日2013年,2014年7月,-,-,外部積立て,-,2034年5月
A785719E25,日本ソーラー電力株式会社,林　雄一郎,東京都品川区東五反田５－２７－１０　野村ビル８階,06-6943-5731,太陽光,40.0,滋賀県彦根市野田山町７５５－１,0,45.9,12月11日2013年,2014年6月,-,-,外部積立て,-,2034年5月
A785784E25,守山市,守山市長　宮本和宏,,,太陽光,30.0,滋賀県守山市赤野井町９－１,0,31.2,12月11日2013年,2014年5月,-,-,外部積立て,-,2034年3月
A785785E25,守山市,守山市長　宮本和宏,,,太陽光,30.0,滋賀県守山市木浜町１１２,0,31.2,12月11日2013年,2014年5月,-,-,外部積立て,-,2034年3月
A785830E25,株式会社　エヌ・アイ・シー,野瀬　浩正,滋賀県犬上郡甲良町北落４５５,0749-38-4104,太陽光,49.5,滋賀県犬上郡多賀町多賀市ノ御田１４８３‐１,0,49.5,12月11日2013年,2016年4月,-,-,外部積立て,-,2036年2月
A785831E25,株式会社　三省堂,大橋　慶之,東近江市八日市清水二丁目７番５号,0748-22-3066,太陽光,39.6,滋賀県東近江市八日市清水２－７－５,0,39.6,12月11日2013年,2014年5月,-,-,外部積立て,-,2034年3月
A785832E25,鎌田　一嗣,,,,太陽光,39.6,滋賀県長浜市口分田町５１８－１,0,39.6,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A785838E25,株式会社陽転,糀谷　博和,野洲市市三宅２５５１－３,075-394-0777,太陽光,22.5,滋賀県東近江市平柳町１２０８,0,23.4,12月11日2013年,2015年5月,-,-,外部積立て,-,2035年3月
A785857E25,中澤　恵美子,,,,太陽光,29.5,滋賀県東近江市五個荘金堂町字流１３５,1,31.1,12月11日2013年,2014年8月,-,-,外部積立て,-,2034年6月
A785859E25,中澤　恵美子,,,,太陽光,39.8,滋賀県東近江市五個荘金堂町字流１３５,1,42.1,12月11日2013年,2014年8月,-,-,外部積立て,-,2034年6月
A785874E25,合同会社　またたび,堀井　清隆,大津市松本二丁目３－２８,077-527-0012,太陽光,35.2,滋賀県大津市藤尾奥町２３－３　リビエール藤尾,0,37.5,12月11日2013年,2014年4月,-,-,外部積立て,-,2034年1月
A785877E25,湖南運輸株式会社,中西　栄太郎,滋賀県栗東市上鈎４８,077-553-2232,太陽光,49.6,滋賀県栗東市上鈎４１－１,0,49.6,12月11日2013年,2014年5月,-,-,外部積立て,-,2034年2月
A786342E25,株式会社シンセイ,古川　良治,彦根市高宮町２８０４－１,0749-23-0172,太陽光,49.5,滋賀県彦根市高宮町２８０４－１,0,55.0,12月16日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A786347E25,戸倉商事株式会社,代表取締役　戸倉保夫,大津市際川３丁目３４‐１０,077-525-2227,太陽光,30.8,滋賀県大津市際川３－３６－１,0,31.8,12月16日2013年,2014年8月,-,-,外部積立て,-,2034年6月
A786352E25,有限会社東伸,松原　洋平,名古屋市北区大曽根１－１９－１６,0568-29-7318,太陽光,69.3,滋賀県蒲生郡日野町大字北脇１－２５３,0,74.2,12月16日2013年,2014年3月,-,-,外部積立て,-,2034年2月
A786409E25,村防工業株式会社,村防勝公,東近江市上平木町１８５０－１,0748-22-6611,太陽光,40.0,滋賀県東近江市上平木町１８５０－１,0,40.6,12月16日2013年,2014年6月,-,-,外部積立て,-,2034年3月
A786432E25,株式会社　エルム測建,土山　定信,甲賀市土山町北土山１５０４番地１,0748-66-1701,太陽光,49.5,滋賀県甲賀市土山町山女原字中村４６７,0,49.5,12月16日2013年,2014年5月,-,-,外部積立て,-,2034年4月
A786463E25,森正商事株式会社,森　陽一,大津市南郷１丁目５―８,077-537-2385,太陽光,30.0,滋賀県草津市岡本町南平４６７－１,0,31.2,12月16日2013年,2014年2月,-,-,外部積立て,-,2033年12月
A786469E25,三浦建設株式会社,三浦　喜彦,栗東市御園１０１０－１,077-558-0230,太陽光,49.2,滋賀県栗東市観音寺１３８,0,49.9,12月16日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A786480E25,澤井　泰一,,,,太陽光,30.0,滋賀県蒲生郡竜王町綾戸９８７,0,30.0,12月16日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A786484E25,坂口　かつ,,,,太陽光,22.0,滋賀県大津市大萱４－字草川２８５６－４,1,26.3,12月16日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A786498E25,伊吹電業株式会社,安田　金次,米原市春照２３０－１,0749-58-1025,太陽光,21.7,滋賀県米原市春照２３０‐１,0,23.5,12月16日2013年,2014年3月,-,-,外部積立て,-,2034年1月
A786519E25,和田　昭子,,,,太陽光,22.0,滋賀県長浜市落合町２０２,0,22.5,12月16日2013年,2014年4月,-,-,外部積立て,-,2034年1月
A786541E25,倉田　紀康,,,,太陽光,33.0,滋賀県甲賀市土山町徳原字滝ノ坪８２９－１,0,36.2,12月16日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A786542E25,太田　英雄,,,,太陽光,33.0,滋賀県草津市西草津２－１６８４－１,0,39.2,12月16日2013年,2014年5月,-,-,外部積立て,-,2034年3月
A786554E25,有限会社　伊藤リース,伊藤　節子,東近江市八日市東本町１３－１２,0748-22-3591,太陽光,30.2,滋賀県東近江市沖野３－１９１－２,0,32.1,12月16日2013年,2014年5月,-,-,外部積立て,-,2034年3月
A786591E25,外村　光宏,,,,太陽光,47.6,滋賀県東近江市東沖野二丁目字沖野１６４９,0,58.0,12月18日2013年,2014年8月,-,-,外部積立て,-,2034年6月
A786592E25,外村　仁志,,,,太陽光,47.6,滋賀県東近江市東沖野２－字沖野１６６０－２,0,58.0,12月18日2013年,2014年8月,-,-,外部積立て,-,2034年6月
A786602E25,高橋　宗浩,,,,太陽光,38.4,滋賀県蒲生郡日野町西大路２４９２－１５,0,38.4,12月18日2013年,2014年6月,-,-,外部積立て,-,2034年5月
A786680E25,西野　薫,,,,太陽光,27.5,滋賀県甲賀市水口町新城北沢４０４,0,30.4,12月18日2013年,2014年5月,-,-,外部積立て,-,2034年3月
A786768E25,川村　嘉彦,,,,太陽光,23.0,滋賀県米原市柏原字柿ノ沢１４１１,0,23.0,12月18日2013年,2014年3月,-,-,外部積立て,-,2034年2月
A787350E25,國領　紀嘉,,,,太陽光,22.5,滋賀県東近江市平柳町字野上２１１２,0,26.0,12月18日2013年,2018年3月,-,-,外部積立て,-,2038年2月
A787397E25,堀田　清美,,,,太陽光,29.7,滋賀県守山市今浜町１９４４,0,36.7,12月18日2013年,2015年1月,-,-,外部積立て,-,2034年11月
A787429E25,株式会社　マツヤ,吉川　幸光,甲賀市甲南町竜法師７９２,0748-86-3143,太陽光,48.0,滋賀県甲賀市甲南町竜法師７９２,0,52.0,12月18日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A787459E25,株式会社　三王不動産流通,河本　善秀,大津市柳ヶ崎５－２５,077-525-3733,太陽光,49.7,滋賀県大津市八屋戸平ノ皆頭１２２,0,49.7,12月18日2013年,2014年11月,-,-,外部積立て,-,2034年9月
A787461E25,株式会社　三王不動産流通,河本　善秀,大津市柳ヶ崎５－２５,077-525-3733,太陽光,49.7,滋賀県大津市八屋戸平ノ皆頭１２２,0,49.7,12月18日2013年,2014年11月,-,-,外部積立て,-,2034年9月
A787510E25,湖国精工株式会社,磯田　隆雄,大津市晴嵐２丁目３番１３号,077-537-2168,太陽光,45.6,滋賀県大津市晴嵐２－３－１３,0,45.6,12月18日2013年,2014年10月,-,-,外部積立て,-,2034年8月
A787575E25,中村　良秋,,,,太陽光,25.5,滋賀県栗東市綣１－１３－６、１３－７（番地未確定）（複数需要場所）,0,25.5,12月24日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A787577E25,オートサービス伸光,辻林光治,甲賀市土山町大野４９５７－１,0748-67-0398,太陽光,21.7,滋賀県甲賀市土山町大野４９５７－１,0,22.0,12月24日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A787605E25,有限会社　圓城電器製作所,圓城　務,彦根市八坂町２８８０－２,0749-25-3230,太陽光,23.0,滋賀県彦根市八坂町２８８０－２,0,23.0,12月24日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A787614E25,タチバナテクノス株式会社,松本　浩二,大阪府東大阪市若江東町１－２－４６,06-6725-5900,太陽光,29.7,滋賀県草津市馬場町１２００－１０,0,30.6,12月24日2013年,2014年4月,-,-,外部積立て,-,2034年2月
A788094E25,日野精機株式会社,福田　弘,蒲生郡日野町西大路２１４０,0748-52-1075,太陽光,46.0,滋賀県蒲生郡日野町西大路２１４０,0,48.0,12月24日2013年,2014年5月,-,-,外部積立て,-,2034年4月
A788112E25,奥村　通裕,,,,太陽光,20.0,滋賀県甲賀市甲賀町鳥居野字明宝寺３２６,0,20.0,12月24日2013年,2014年6月,-,-,外部積立て,-,2034年5月
A788114E25,奥村　通裕,,,,太陽光,20.0,滋賀県甲賀市甲賀町鳥居野明宝寺３７７,0,20.0,12月24日2013年,2014年6月,-,-,外部積立て,-,2034年5月
A788117E25,奥村　通裕,,,,太陽光,20.0,滋賀県甲賀市甲賀町油日４０４,0,20.0,12月24日2013年,2014年6月,-,-,外部積立て,-,2034年5月
A788135E25,曽和　義明,,,,太陽光,40.0,滋賀県甲賀市甲賀町油日４０４,0,40.0,12月24日2013年,2014年6月,-,-,外部積立て,-,2034年5月
A788136E25,曽和　義明,,,,太陽光,40.0,滋賀県甲賀市甲賀町油日４０１－１,0,40.0,12月24日2013年,2014年6月,-,-,外部積立て,-,2034年5月
A788155E25,有限会社　トラスト,山形　聡,滋賀県米原市岩脇５０１番地１,,太陽光,39.4,滋賀県甲賀市土山町市場４９６,2,40.5,12月24日2013年,2014年11月,-,-,外部積立て,-,2034年9月
A788185E25,日本ソーラー電力株式会社,林　雄一郎,東京都品川区東五反田５－２７－１０　野村ビル８階,06-6943-5731,太陽光,40.0,滋賀県湖南市石部口１－１４－１３,0,56.1,12月24日2013年,2016年5月,-,-,外部積立て,-,2036年3月
A788196E25,クロダ設計工務,黒田　芳彦,,,太陽光,39.6,滋賀県彦根市安食中町字三反田２９９－２,0,40.4,12月24日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A788204E25,風工房,西山　一幸,,,太陽光,39.6,滋賀県彦根市安食中町字三反田２９９－２,0,40.4,12月24日2013年,2014年6月,-,-,外部積立て,-,2034年4月
A788206E25,田中　祥司,,,,太陽光,39.6,滋賀県彦根市安食中町字三反田２９９－２,0,40.4,12月24日2013年,2014年6月,-,-,外部積立て,-,2034年4月
